Name,Gender,Nationality,Birth Year,Death Year
Hal Ashby,Male,American,1929,1988
Lawrence Kasdan,Male,American,1949,
Brian De Palma,Male,American,1940,
Terry Gilliam,Male,American,1940,
Herbert Ross,Male,American,1927,2001
Gene Saks,Male,American,1921,
Robert Moore,Male,American,1927,1984
Mark Rydell,Male,American,1934,
Jean-Paul Rappeneau,Male,French,1932,
Jim Henson,Male,American,1936,1990
Frank Oz,Male,British,1944,
Richard Marquand,Male,British,1938,1987
Norman Jewison,Male,Canadian,1926,
Bob Rafelson,Male,American,1933,
Mike Hodges,Male,British,1932,
Richard Lester,Male,American,1932,
Robert Youngson,Male,American,1917,1974
Edward Zwick,Male,American,1952,
Jamie Uys,Male,South African,1921,1996
Randal Kleiser,Male,American,1946,
Blake Edwards,Male,American,1922,2010
Stanley Kramer,Male,American,1913,2001
Mick Jackson,Male,British,1943,
Édouard Molinaro,Male,French,1928,
Peter Bogdanovich,Male,American,1939,
Nicholas Hytner,Male,British,1956,
Terry Jones,Male,Welsh,1942,
Roland Joffé,Male,British,1945,
Kenneth Branagh,Male,Irish,1960,
Richard Benjamin,Male,American,1938,
Jim Sheridan,Male,Irish,1949,
Yves Robert,Male,French,1920,2002
Roger Corman,Male,American,1926,
Rob Reiner,Male,American,1947,
Richard Williams,Male,Canadian,1933,
Michael Caton-Jones,Male,Scottish,1957,
Ted Tetzlaff,Male,American,1903,1995
Alan J. Pakula,Male,American,1928,1998
Richard Rush,Male,American,1929,
Jack Haley Jr.,Male,American,1933,2001
Richard Fleischer,Male,American,1916,2006
Robert Wise,Male,American,1914,2005
Michael Crichton,Male,American,1942,2008
Clive Donner,Male,British,1926,2010
Richard Talmadge,Male,German,1892,1981
Taylor Hackford,Male,American,1944,
George Dunning,Male,Canadian,1920,1979
David Hand,Male,American,1900,1986
Ben Sharpsteen,Male,American,1895,1980
Hamilton Luske,Male,American,1903,1968
Clyde Geronimi,Male,Italian,1901,1989
Jack Hannah,Male,American,1913,1994
Jack Kinney,Male,American,1909,1992
Jack King,,American,1895,1958
Riley Thomson,Male,American,1912,1960
Dick Lundy,Male,American,1907,1990
Bob Carlson,Male,,,
Charles A. Nichols,Male,American,1910,1992
Dick Huemer,Male,American,1898,1979
Wolfgang Reitherman,Male,American,1909,1985
Frank Tashlin,Male,American,1913,1972
Norm Ferguson,Male,American,1902,1957
Dick Rickard,Male,,,
Rob Minkoff,Male,American,1962,
Connie Rasinski,Male,American,1907,1965
Dave Tendlar,Male,American,1909,1993
Paul J. Smith,Male,American,1906,1980
Pete Burness,Male,American,1904,1969
Robert Cannon,Male,American,1909,1964
Ub Iwerks,Male,American,1901,1971
Alex Lovy,Male,American,1913,1992
Chuck Jones,Male,American,1912,2002
Robert McKimson,Male,American,1910,1977
Hawley Pratt,Male,American,1911,1999
Abe Levitow,Male,American,1922,1975
Rudy Larriva,Male,American,1916,2010
Preston Blair,Male,American,1908,1995
Michael Lah,Male,American,1912,1995
Gene Deitch,Male,American,1924,
Maurice Noble,Male,American,1911,2001
Izzy Sparber,Male,American,1900,1958
Seymour Kneitel,Male,,1908,1964
Frank Endres,Male,,,
Tom Golden,Male,,,
Graham Place,Male,,,
Erwin Hauer,Male,Austrian,1926,
Randy Tuten,Male,American,1946,
Mick Haggerty,Male,American,,
Peter Kodick (Peter Gravelle),Male,British,,
Adam Helms,Male,American,1974,
John Newsom,Male,American,1970,
William Villalongo,Male,American,1975,
Danilo Barbosa,Male,Brazilian,1949,
Ellen Auerbach,Female,German,1906,2004
John Follis,Male,American,1923,1994
Bernhard Höke,,,,
Michele Abeles,Female,American,1977,
Edward Waisnis,Male,American,1957,
Mike Nichols,Male,American,1931,
Matt Porterfield,Male,American,1977,
Lucian Pintilie,Male,Romanian,1933,
Corinna Belz,Female,German,1970,
Nicolas Winding Refn,Male,Danish,1970,
Sally Cruikshank,Female,American,1949,
Julie Taymor,Female,American,1952,
Júlio Bressane,Male,Brazilian,1946,
Alfred Caldwell,Male,American,,
Michael Harris,Male,American,1933,
Patricia Cardoso,Female,Colombian,,
Elia Suleiman,Male,Palestinian,1960,
Rebecca Cammisa,Female,American,,
Rob Fruchtman,Male,,,
Nobi Nakanishi,Male,American,1975,
Herbert Danska,Male,American,1927,
Birdhead,,Chinese,2004,
Natalia Almada,Female,Mexican,1974,
Véréna Paravel,Female,French,1971,
J.P. Sniadecki,Male,American,1979,
Andrez Wajda,Male,Polish,1926,
Richard Kaplan,Male,American,1925,
Mike Johnson,Male,American,,
Song Tao,,Chinese,1979,
Ji Weiyu,,Chinese,1980,
Zoe Crosher,Female,American,1975,
Arthur Cantrill,Male,Australian,1938,
Corinne Cantrill,Female,Australian,1928,
Doug Sweetland,Male,American,1974,
Marja Mikkonen,Female,Finnish,1979,
André Téchiné,Male,French,1943,
Éric Chahi,Male,French,1967,
Masaya Matsuura,Male,Japanese,1961,
NanaOn-Sha Co. Ltd.,,,1993,
CCP Games,,,1997,
Valve,,American,1996,
Bahman Ghobadi,Male,Iranian,1969,
Julia Loktev,Female,Russian,1969,
Larry Fessenden,Male,American,1963,
Edwin Locke,Male,American,,
Georg Greger,Male,German,,
Laurie Collyer,Female,American,1967,
Erick Zonca,Male,French,1956,
Clorindo Testa,Male,Argentine,1923,2013
Helmut Kronberger,Male,Austrian,,
Ernst Thormahlen,Male,,,
Simon Levy,Male,American,1946,
Alexey Pajitnov,Male,Russian,1955,
Keita Takahashi,Male,Japanese,1975,
Shane McGowan,Male,,,
Anya Phillips,Female,American,1955,1981
Mark Perry,Male,,,
James McCaffry,Male,American,1954,2011
Nina Leen,Female,American,1909,1995
Roland Kayn,,,,
Milko Kelemen,,,1924,
Jimenez Lai,Male,Canadian,1979,
Bureau Spectacular,,,2008,
Doshi Levien UK,,,2000,
Nipa Doshi,Female,Indian,1971,
Jonathan Levien,Male,British,1972,
Yto Barrada,Female,French,1971,
Irwin Kremen,Male,American,1925,
Bela Kolárová,Female,Czech,1923,2010
Martin Boyce,Male,Scottish,1967,
Blanc et Demilly,,French,1924,1962
Carlos Raúl Villanueva,Male,Venezuelan,1900,1975
Monteiro Filho,Male,Brazilian,1925,
Antonio Bandeira,Male,Brazilian,1922,1967
Danilo di Prete,Male,Brazilian,1911,1985
Felix Beltran,Male,Cuban,1938,
Paolo Labañino,Male,Cuban,1944,
González Ruiz,Male,Argentine,1937,
Daniel Grataloup,Male,Swiss,1937,
Markus & Nocka Inc,,,1932,
Frederick Markus,Male,American,,
Paul Nocka,Male,,,
Markus Kayser,Male,German,1983,
Barry Parker,Male,British,1867,1947
Richard Lampert GmbH & Co.KG,,,,
Kate Simon,Female,,,
Gilles Gheerbrant,Male,,,
DoDo Jin Ming,Female,Chinese,1955,
Mark Becker,Male,,,
Nathalie Djurberg,Female,Swedish,1978,
Zanele Muholi,Female,South African,1972,
Dóra Maurer,Female,Hungarian,1937,
Richard Seireeni,Male,,,
M. Hirsch,,,,
Norman Seeff,Male,American,1939,
Gardar Eide Einarsson,Male,Norwegian,1976,
Rashid Johnson,Male,American,1977,
Douglas Darden,Male,American,1951,1996
Abby Leigh,Female,American,1948,
Fallout Productions,,,,
Top O'Graphic,,,,
Anna Persiani,Female,,,
Thomas Klinkowstein,Male,American,1950,
David Arnoff,Male,British,1951,
Winston Smith,Male,,,
Carlos Bunga,Male,Portuguese,1976,
Diane Lewis,Female,American,1951,
Richard Barnes,Male,American,1953,
Junshi Nakamichi,,,,
Vincent Cafarelli,Male,American,1930,2011
Ido Bruno,Male,Israeli,1963,
Arthur Brutter,Male,Israeli,1982,
BIG-GAME,,,2004,
Augustin Scott de Martinville,Male,French,1980,
Grégoire Jeanmonod,Male,Swiss,1978,
Elric Petit,Male,Belgian,1978,
Moustache Paris,,,,
Michael Manfredi,Male,American,,
Marion Weiss,Female,American,,
Leigh Ledare,Male,,1976,
Adrián Villar Rojas,Male,Argentine,1980,
Adam Saltsman,Male,American,1982,
Jenova (Xinghan) Chen,Male,Chinese,1981,
Nick Clark,Male,American,1984,
Toru Iwatani,Male,Japanese,1955,
Rand Miller,Male,American,1959,
Robyn Miller,Female,American,1966,
José Guillermo Castillo,Male,Venezuelan,1938,1999
Carlos Herrera,Male,Venezuelan,1909,1988
Valentin Carron,Male,Swiss,1977,
Chris Welch,,British,,
Rabih Mroué,Male,Lebanese,1967,
Meiro Koizumi,Male,Japanese,1976,
Lillian Schwartz,Female,American,1927,
Frances Kuehn,,,,
Yervant Gianikian,Male,Italian,1942,
Angela Ricci Lucchi,Female,Italian,1942,
Daniel Baranowsky,Male,American,1984,
Loretta Fahrenholz,Female,German,1981,
Jonathan Nossiter,Male,American,1961,
Eryk Rocha,Male,Brazilian,1978,
Jay Rosenblatt,Male,American,1955,
Song Chuan,Male,Chinese,1980,
Ira Sachs,Male,American,1965,
Maurice Pialat,Male,French,1933,
Jacques Rivette,Male,French,1928,
Nina Rosenblum,Female,American,1955,
Lisa Cholodenko,Female,American,1964,
Phil Donahue,Male,American,1935,
Jorge Gaggero,Male,Argentine,1970,
Ulu Grosbard,Male,American,1929,2012
Oussama Mohammad,Male,Syrian,1954,
Alexander Olch,Male,American,1977,
Barry O'Neil,Male,American,1865,1918
Lynne Ramsay,Female,Scottish,1969,
Richard Rogers,Male,American,1944,2001
Kazuhiro Soda,Male,Japanese,1970,
Peter Weir,Male,Australian,1944,
Martin Arnold,Male,Austrian,1959,
James Benning,Male,American,1942,
Leos Carax,Male,French,1960,
Gustav Deutsch,Male,Austrian,1952,
Matthias Müller,Male,German,1961,
Peter Tscherkassky,Male,Austrian,1958,
Apichatpong Weerasethakul,Male,Thai,1970,
Ruapati,,,,
Pere Catala Pic,Male,Spanish,,
Anika,,,,
Marcelo Martin,,,,
Chi,,,,
Misas,,,,
Thompson,,,,
Laura Diaz Milán,,,,
Gustavo Gavilondo,,,,
Melo,,,,
Pablo Monterrey,,,,
Adrian Berazain,,,,
Annee Olofsson,Female,Swedish,1966,
Tom Hunter,Male,British,1965,
Daniela Rossell,Female,Mexican,1973,
Vibeke Tandberg,Female,Norwegian,1967,
Hellen Van Meene,Female,Dutch,1972,
Alexander Dominguez,,,,
Anabel Alfonso Suárez,,,,
Marwin Sánchez,,,,
Miguel Hidalgo,,,,
Gabriela Gutiérrez,,,,
Magdiel Collazo,,,,
Idania del Rio,,,1981,
Maxis Inc.,,,1987,
Carol Rama,Female,Italian,1918,2015
Filip Dujardin,Male,Belgian,1971,
Earl Brown,,,,
Vladimir Ussachevsky,,,,
Milton Babbitt,,,,
Bülent Arel,,,,
Cristian Mungiu,Male,Romanian,1968,
Hsiao-Hsien Hou,Male,Taiwanese,1947,
Claude Chabrol,Male,French,1930,2010
Jessica Yu,Female,American,1966,
Donald Goddard,Male,,,
LOT-EK,,,1993,
Ada Tolla,Female,Italian,1964,
Giuseppe Lignano,Male,Italian,1963,
Alex Holdridge,Male,American,1975,
Catherine Breillat,Female,French,1948,
Christopher Zalla,Male,Kenyan,1974,
Christophe Honoré,Male,French,1970,
Johnnie To,Male,Chinese,1955,
Ka-Fai Wai,Male,Chinese,1955,
Cristóbal Lehyt,Male,Chilean,1973,
Joseph Byrd,Male,American,1937,
Waldemar Cordeiro,Male,Brazilian,1925,1973
Janice Kerbel,Female,Canadian,1969,
Claude Lelouch,Male,French,1937,
William Scott,Male,American,1964,
Nagisa Oshima,Male,Japanese,1932,2013
André Halimi,Male,Tunisian,1930,
Michael Harvey,,,,
Jim Downie,,,,
George L. Thomson,,,,
Kate Greenaway,,,,
Jean Douchet,Male,French,1929,
Jean-Daniel Pollet,Male,French,1936,2004
Eric Rohmer,Male,French,1920,2010
Jean Rouch,Male,French,1917,2004
Lisa Oppenheim,Female,American,1975,
Gordon Bruce,Male,,,
Allen Hawthorne,Male,American,1935,
Sarah Crowner,,American,1974,
The Henry Moore Foundation,,,,
Lyle Ashton Harris,Male,American,1964,
Lucy Raven,Female,American,1977,
Moggridge Associates,,,,
Charles White III,Male,American,,
Anna Ostoya,Female,Polish,1978,
Eileen Quinlan,Female,American,1972,
Josephine Pryde,Female,British,1967,
Brendan Fowler,Male,American,1978,
Adam Broomberg,Male,South African,1970,
Oliver Chanarin,Male,British,1971,
Robi Müller,Male,Swiss,1942,
Lourdes Portillo,Female,Mexican,1944,
Nina Serrano,Female,American,1934,
A.D. Meraz industries Ltd. Sderot Israel,,Israeli,,
Susana Blaustein Muñoz,Female,Argentine,,
Aaron Kuriloff,,,,
Paolo Lionni,,,,
Richard Press,Male,American,1965,
Katô Tarô,,Japanese,,
Suihara Masami,,Japanese,,
Lucien Castaing-Taylor,Male,British,1966,
Julius Klinger,Male,Austrian,1876,1942
François Truffaut,Male,French,1932,1984
Gustav Metzger,,,,
Samuel Fuller,Male,American,1912,1997
George Roy Hill,Male,American,1921,2002
Brian Beker,Male,American,1958,
Stephen Daldry,Male,British,1961,
Franz Josef van der Grinten,Male,German,1933,
UNITED BROTHERS,,,,
Clifford Owens,Male,American,1971,
Geta Brătescu,Female,Romanian,1926,
Yael Mer,Female,Israeli,1976,
Christof  Kohlhöfer,,,,
Gillow & Co.,,,,
Richard Maxfield,Male,American,1927,1969
Adam Broomberg and Oliver Chanarin Studio,,,,
Mary Vieira,Female,Brazilian,1927,2001
Vagelis Tsakiridis,,,,
Walter Marchetti,,,,
Charlotte Moorman,,American,1933,1991
Pandit Pran Nath,Male,,1918,1996
Jon Hassell,,,1937,
Frank Trowbridge,,American,1941,
Larry Baldwin,,,,
Spilling,,German,,
Jean Dupuy,,,,
Paulo Monteiro,Male,Brazilian,1961,
Ryan Trecartin,Male,American,1981,
Paulo Bruscky,Male,Brazilian,1949,
Gino Soggetti,male,Italian,1898,1990
Katherine Ball,Female,,,
Rich Black,,,1974,
Anthony Nomorosa,Male,,1988,
Brad Kayal,Male,,1978,
Roger Peet,,,,
Art Hazelwood,Male,,1961,
Jeanne Verdoux,Female,French,1966,
Colin Smith,,,1982,
Lindsay Starbuck,,,,
Ronnie Goodman,,,1960,
Manya Kuzemchenko,Female,,1984,
Mark Miller,Male,,,
John Langdon,Male,,,
Molly Crabapple,Female,American,1983,
Keith Lowe,Male,,,
Marx Aviano,,,,
Sebastian Marchal,,,,
Fernando Vilela,Male,Brazilian,1973,
Fernando Ortega,Male,Mexican,1971,
Sohei Hashimoto,,,,
Thomas Lanigan-Schmidt,Male,American,1948,
Fernand Fau,Male,French,1858,1919
Alexandra Clotfelter,,,1989,
David Loewenstein,Male,American,,
Liu Xiaodong,Male,Chinese,1963,
Renan,,Spanish,,
JoAnn Carney,Female,,,
Tom Shortlidge,Male,American,1943,
Wila,,Spanish,,
Luc Sante,Male,American,1954,
Jayson Musson,Male,American,1977,
Ben Katchor,Male,American,1951,
Vibram S.p.A. Albizzate Italy,,,1937,
NIKE,,,,
Amanda Guest,Female,British,1964,
Bart Wasserman,Male,American,1930,2004
Christian Petzold,Male,German,1960,
Maren Ade,Female,German,1976,
Nuri Bilge Ceylan,Male,Turkish,1959,
Manoel de Oliveira,,Portuguese,1908,2015
Hong Sang-soo,Male,Korean,1961,
Miguel Gomes,Male,Portuguese,1972,
Pedro Costa,Male,Portuguese,1959,
José Luis Guerín,Male,Spanish,1960,
Matías Piñeiro,Male,Argentine,1982,
João Pedro Rodrigues,Male,Portuguese,1966,
Pier Paolo Pasolini,Male,Italian,1922,1975
Matias Meyer,Male,French,1979,
Kleber Mendonça Filho,Male,Brazilian,1968,
Christopher Kenneally,Male,American,1975,
Sebastián Silva,Male,Chilean,1979,
Nicolás Pereda,Male,Mexican,1977,
Bijan Zamanpira,Male,Iraqi,1965,
Nahid Ghobadi,Female,Iranian,1964,
Mohamed Diab,Male,Saudi Arabian,1977,
Sebastián del Amo,Male,French,1971,
Mani Haghighi,Male,Iranian,1969,
Srdan Dragojevic,Male,Serbian,1963,
Eduardo Nunes,Male,Brazilian,1969,
Darezhan Omirbayev,Male,Kazakhstani,1958,
Thornton Dial,Male,,1928,2016
Bujar Alimani,Male,Albanian,1969,
Gustavo Pizzi,Male,Brazilian,1977,
Kivu Ruhorahoza,Male,Rwandan,1982,
Morteza Farshbaf,Male,Iranian,1986,
Paula Markovitch,Female,Argentine,1968,
Oday Rasheed,Male,Iraqi,1973,
Tolga Karaçelik,Male,Turkish,1981,
Li Shaohong,Female,Chinese,1955,
Ahmed Imamovic,Male,Bosnian,1971,
Lu Zhang,Male,Chinese,1962,
Diego Lerman,Male,Argentine,1976,
Sidharth Srinivasan,Male,Indian,1975,
Levan Koguashvili,Male,Georgian,1973,
Sérgio Bianchi,Male,Brazilian,1945,
Federico Veiroj,Male,Uruguayan,1976,
Garin Nugroho,Male,Indonesian,1961,
Chuyên Bùi Thac,Male,Vietnamese,1968,
Alejandro Gerber Bicecci,Male,Mexican,1977,
Josué Méndez,Male,Peruvian,1976,
Enrique Buchichio,Male,Uruguayan,1973,
Lyès Salem,Male,Algerian,1973,
Granaz Moussavi,Female,Iranian,1974,
Rajesh Shera,Male,Indian,1972,
Vladimir Perisic,Male,Serbian,1976,
Chi Zhang,Male,Chinese,1977,
Oliver Hermanus,Male,South African,1983,
Fanta Régina Nacro,Female,Burkinabe,1962,
Yang Zhang,Male,Chinese,1967,
Teona Strugar Mitevska,Female,Macedonian,1974,
Víctor Arregui,Male,Ecuadorian,1962,
Nan Achnas,Female,Singaporean,1963,
Teresa Prata,Female,Portuguese,,
Marat Sarulu,Male,Kyrgyzstani,1957,
Naghi Nemati,Male,Iranian,1977,
Faouzi Bensaïdi,Male,Moroccan,1967,
Renato Falcão,Male,Brazilian,1963,
Antonio Nuic,Male,,1977,
Jeffrey Jeturian,Male,Filipino,1959,
Rodrigo Moreno,Male,Argentine,1972,
Ali Rafie,Male,Iranian,1938,
Randa Chahal Sabag,Female,French,1953,2008
Chao Wang,Male,Chinese,1964,
João Luis Sol de Carvalho,Male,Mozambican,1953,
Djamila Sahraoui,Female,Algerian,1950,
Yu Li,Female,Chinese,1973,
Dalibor Matanic,Male,Croatian,1975,
Hiner Saleem,Male,Iraqi,1954,
Hugo Grosso,Male,Argentine,1955,
Sebastián Campos,Male,Chilean,1974,
Arsen Anton Ostojic,Male,Croatian,1965,
Lúcia Murat,Female,Brazilian,1948,
Kambozia Partovi,Male,Iranian,1955,
Marcelo Gomes,Male,Brazilian,1963,
Danielle Arbid,Female,Lebanese,1970,
Tawfik Abu Wael,Male,Palestinian,1976,
Minh Nguyen-Vo,Male,Vietnamese,1956,
Mehdi Charef,Male,Algerian,1952,
Pjer Žalica,Male,Bosnian,1964,
Maria João Ganga,Female,Angolan,1964,
Assane Kouyaté,Male,Malian,1954,
Mariano Galperin,Male,Argentine,1962,
Alejandro Chomski,Male,Argentine,1968,
Yinan Diao,Male,Chinese,1969,
Reha Erdem,Male,Turkish,1960,
Juan Pablo Rebella,Male,Uruguayan,1974,2006
Pablo Stoll,Male,Uruguayan,1974,
Jilani Saadi,Male,Tunisian,1962,
Cláudio Assis,Male,Brazilian,1959,
Juan Carlos Cremata Malberti,Male,Cuban,1961,
Adoor Gopalakrishnan,Male,Indian,1941,
Rashid Masharawi,Male,Palestinian,1962,
Manijeh Hekmat,Female,Iranian,1962,
Joel Lamangan,Male,Filipino,1952,
Ralph Baer,Male,American,1922,2014
Cristobal Palma,Male,British,1974,
Vitale Bramani,Male,Italian,1900,1970
"Markus ""Notch"" Persson",Male,Swedish,1979,
Allan Alcorn,Male,American,1948,
Lyle Rains,Male,British,,
"George ""Ed"" Logg",Male,American,1948,
Dave Theurer,Male,American,,
Howard Scott Warshaw,Male,American,1957,
Corneille Hannoset,Male,Belgian,1926,1997
Tomohiro Nishikado,Male,Japanese,1944,
Nicolás Paris,Male,Colombian,1977,
Alain Huck,Male,,1957,
Tobias Madison,Male,Swiss,1985,
Lizzie Fitch,Female,American,1981,
Ed Atkins,Male,British,1982,
Urbanski,,,,
Hito Steyerl,,,,
Gabriele Mucchi,Male,Italian,1899,2002
Ensamble Studio/MIT-POPlab,,,2000,
Antón Garcia-Abril,Male,Spanish,1969,
Javier Cuesta Rodríguez-Torices,Male,Spanish,1973,
Débora Mesa,Female,Spanish,1981,
Agustín Hernández Navarro,Male,Mexican,1924,
M. Dabrokovski,,,,
V. Liushin,,,,
José Antonio Attolini Lack,Male,Mexican,1931,2012
Friedrich Wolfram Heubach,,,,
José Miguel Galia,Male,Venezuelan,1919,2009
Jesús Tenreiro-Degwitz,Male,Venezuelan,1936,2007
Miguel Galas S.A. Mexico City,,,,
David Palladini,Male,American,1946,
Michael C. Gross,Male,American,1945,
Leonard Soned,Male,,,
Bob Pellegrini,,American,1938,
Michael Putnam,Male,American,1937,
Francisco Uribe,Male,,,
J.D. 'Okhai Ojeikere,Male,Nigerian,1930,2014
Scott Snibbe,Male,American,1969,
Alfonso Ianelli,Male,American,1888,1965
Flora Manteola,Female,Argentine,1936,
Javier Sánchez Gómez,Male,Argentine,1936,
Josefa Santos,Female,Argentine,1931,
Justo Solsona,Male,Argentine,1931,
LIZZIE FITCH/RYAN TRECARTIN,,,,
Lina Bo Bardi,Female,Brazilian,1914,1992
Emil Schulthess,Male,Swiss,1913,1996
Georg Gerster,Male,Swiss,1928,
Hans Frei,Male,Swiss,,
Eugène Deslaw,Male,Ukrainian,1898,1966
Bronislaw Schlabs,Male,Polish,1920,2009
David Behrman,,,,
Claus Bremer,Male,German,,
David Degener,,,,
Dennis Johnson,,American,,
Ding Dong,,,,
James Waring,Male,American,1922,1975
Christian Wolff,,American,1934,
Michelangelo Frammartino,Male,Italian,1968,
A.L. Steiner,Female,American,1967,
George Archainbaud,Male,French,1890,1959
Nancy Andrews,Female,American,1961,
Michael Sporn,Male,American,1946,
ATBAT,,,,
Al Loving,Male,American,1935,2005
Scandar Copti,Male,Israeli,1975,
Yaron Shani,Male,Israeli,1973,
Joseph Cedar,Male,American,1968,
Li Yang,Male,Chinese,1959,
Mark Morrisroe,Male,American,1959,1989
Hugo van Werden,Male,German,1836,1911
Christopher Guest,Male,American,1948,
Judd Apatow,Male,American,1967,
Adam McKay,Male,American,1968,
Su Friedrich,Female,American,1954,
Mario Rizzi,Male,Italian,,
Werner Herzog,Male,German,1942,
Anne Fontaine,Female,Luxembourgish,1959,
Jim Finn,Male,American,1968,
Ilisa Barbash,Female,American,,
Lance Bangs,Male,American,1972,
John Lee Hancock,Male,American,1956,
Katie Flesicher,Female,American,,
Eric Mendelsohn,Male,American,1964,
Eugen Schüfftan,Male,American,1893,1977
Greg Mottola,Male,American,1964,
Jake Kasdan,Male,American,1974,
David Gordon Green,Male,American,1975,
Harold Ramis,Male,American,1944,
Jeff Tremaine,Male,American,1966,
Aram Avakian,Male,American,1926,1987
Helen Marten,Female,British,1985,
Christian Barman,Male,British,1898,1980
Serge Chermayeff,Male,British,1900,1996
E. K. Cole Ltd est. 1924,,,,
Errol Morris,Male,American,1948,
Colectivo Cordyceps,,,,
Joe Thompson,,,,
John Emerson,,,1973,
Chelsea Peil,,,,
Gabby Miller,,,1985,
Miriam Klein Stahl,,,1971,
Occupy Design,,,,
Lopi,,,,
Cactus,,,,
Fahmi Reza,,,,
Santana,,,,
Alex Rivera,Male,American,1973,
Jeanne Liotta,Female,American,1960,
Claire Denis,Female,French,1948,
Bloomfield/Travis,,,,
Vivienne Westwood,Female,British,1941,
Joseph Christian Leyendecker,Male,American,1874,1951
Mogens Lassen,Male,Danish,1901,1987
Delia Smith,Female,British,1941,
ARO (Architecture Research Office),,,1993,
Adam Yarinsky,Male,American,1962,
Kim Yao,Female,American,1971,
Sara Hendren,Female,American,1973,
Brian Glenney,Male,American,1974,
Accessible Icon Project,,American,,
Kengo Kuma,Male,Japanese,1954,
Deborah Stratman,Female,American,1960,
Roddy Bogawa,Male,American,1962,
Tim Ferguson Sauder,Male,American,1972,
Kais Al-Zubaidi,Male,Iraqi,1945,
Thom Andersen,Male,American,1943,
Jean-Jacques Annaud,Male,French,1943,
Michael Moore,Male,American,1954,
Jean Negulesco,Male,Romanian,1900,1993
Brian Helgeland,Male,American,1961,
Steven Shainberg,Male,American,1963,
Benjamin Heisenberg,Male,German,1974,
Athena Rachel Tsangari,Female,Greek,1966,
Michael Paxton,Male,American,1957,
Pablo Trapero,Male,Argentine,1971,
Doris Dorrie,Female,German,1955,
Ferzan Özpetek,Male,Turkish,1959,
Gaspar Noé,Male,Argentine,1963,
Aki Kaurismäki,Male,Finnish,1957,
David France,Male,American,1948,
Jean-Pierre Dardenne,Male,Belgian,1951,
Luc Dardenne,Male,Belgian,1954,
Göran Olsson,Male,Swedish,1965,
Alain Corneau,Male,French,1943,2010
Lynn Shelton,Female,American,1965,
Abel Ferrara,Male,American,1951,
Nanni Moretti,Male,Italian,1953,
Wim Wenders,Male,German,1945,
Michael Winterbottom,Male,British,1961,
Olivier Assayas,Male,French,1955,
Bertrand Tavernier,Male,French,1941,
Xavier Dolan,Male,Canadian,1989,
Lena Dunham,Female,American,1986,
Ricki Stern,,American,,
Anne Sundberg,Female,American,,
Don Argott,Male,American,1972,
Bruno Dumont,Male,French,1958,
Jens Eilstrup Rasmussen,Male,Danish,1966,
Yoshiki Okamoto,Male,Japanese,1961,
Akira Yasuda,Male,Japanese,1964,
Capcom Osaka,,Japanese,1983,
Pavel Janák,Male,Czech,1882,1956
Cinthia Marcelle,,Brazilian,1974,
Ryan Sullivan,Male,American,1983,
Jiří Hilmar,Male,Czech,1937,
Jaroslav Sůra,Male,Czech,1928,2010
Karel Vaca,Male,Czech,1919,1989
Halil Altindere,Male,Turkish,1971,
Jonathas de Andrade,Male,Brazilian,1982,
dlandstudio,,,2005,
Emily Roysdon,,American,,
Unknown Designer - East German,,,,
Jeff Elrod,Male,American,1966,
Jeremy Shaw,,,,
Danny Boyle,Male,British,1956,
Robert Bresson,Male,French,1901,1999
Alex Cox,Male,British,1954,
Sergio Leone,Male,Italian,1929,1989
Jean-Pierre Melville,Male,French,1917,1973
Paul Morrisey,Male,American,1938,
Daniel Schmid,Male,Swiss,1941,2006
Luchino Visconti,Male,Italian,1906,1976
Alfredo Cortina,Male,Venezuelan,1903,1988
Jed Curtis,,American,1942,
Hermano Martin Corréa,Male,Chilean,,
Hermano Gabriel Guarda,Male,Chilean,,
Francisco Méndez Labbé,Male,Chilean,1922,
Istvan Anhalt,,,,
Reginald Daniel,,,,
Max Neuhaus,,American,1939,2009
Simone Morris,,,,
A. Michael Noll,Male,American,1939,
Mario Gandelsonas,Male,American,1938,
Diana Agrest,Female,American,1945,
R.C. Lummis,,,,
M. M. Sondhi,,,,
Marcel Moore (Suzanne Malherbe),Female,French,1892,1972
Edi Hirose,Male,Peruvian,1975,
MSGSSV (Manteola Sánchez Gómez Santos Solsona Viñoly),,Argentine,,
Mario Roberto Álvarez,Male,Argentine,1913,2011
Eladio Dieste,Male,Uruguayan,1917,2000
Ramiro Bascans,Male,Uruguayan,1936,2012
Thomas Sprechmann,Male,Uruguayan,1940,
Héctor Vigliecca,Male,Uruguayan,1940,
Arturo Villaamil,Male,Uruguayan,1947,
Camille Henrot,Female,French,,
Sung Hwan Kim,,,,
Tuur Van Balen,Male,Belgian,1981,
John Van Saun,,,,
Guillermo Bermúdez,Male,Colombian,1924,1995
Wolfgang Stoerchle,Male,German,1944,1976
Lee Jaffe,Male,American,1950,
George Trakas,Male,Canadian,1944,
Jimmy Alcock,Male,Venezuelan,1932,
Antonio Puente,Male,Venezuelan,,
Bryce Cooper Graña Nicolini Arquitectos,,Peruvian,1966,
José Sigala,Male,Venezuelan,1940,1955
Miguel Rodrigo Mazuré,Male,Peruvian,1926,2014
Pezo von Ellrichshausen,,,2002,
Frederick Cooper Llosa,Male,Peruvian,1939,
Miguel Cruchaga Belaúnde,Male,Peruvian,1940,
Emilio Soyer,Male,Peruvian,,
Alvin Lucier,,,,
Luther Price,,,,
